index,palette_name,number_of_color,palette_rank,img_path
112,Kirby (SGB),4,97,www/palette/112.png
113,CPC Boy,32,99,www/palette/113.png
114,ARQ16,16,100,www/palette/114.png
115,Night 16,16,100,www/palette/115.png
116,Peachy Pop 16,16,102,www/palette/116.png
117,Easter Island,16,102,www/palette/117.png
118,ZX Spectrum,15,104,www/palette/118.png
119,YKB-22,22,104,www/palette/119.png
120,GrafxKid Gameboy Pocket (Green),4,106,www/palette/120.png
121,Graveyard,21,107,www/palette/121.png
122,FZT Ethereal 16,12,108,www/palette/122.png
123,NOPAL-12,16,109,www/palette/123.png
124,ZyKro-48,48,110,www/palette/124.png
125,Andrew Kensler 32,32,110,www/palette/125.png
126,Ink,5,112,www/palette/126.png
127,JerryPie 22,22,113,www/palette/127.png
128,JB4,4,115,www/palette/128.png
129,Metroid II (SGB),4,116,www/palette/129.png
130,A64,16,118,www/palette/130.png
131,Amstrad CPC,27,119,www/palette/131.png
132,PJ Gameboy,4,120,www/palette/132.png
133,GNOME 32,32,121,www/palette/133.png
134,atprises 22,22,121,www/palette/134.png
135,Arne 16,16,123,www/palette/135.png
136,ZyKro-32,32,124,www/palette/136.png
137,Nymph GB,4,127,www/palette/137.png
138,CGArne,16,127,www/palette/138.png
139,c20,20,130,www/palette/139.png
140,GB Easy Greens,4,131,www/palette/140.png
141,eishiya 22,22,131,www/palette/141.png
142,Macintosh II,16,133,www/palette/142.png
143,Banana Split,19,133,www/palette/143.png
144,Fun16,16,135,www/palette/144.png
145,Commodore VIC-20,16,137,www/palette/145.png
146,ZXArne 5.2,16,139,www/palette/146.png
147,Hybrid32,32,140,www/palette/147.png
148,Froste 16,16,141,www/palette/148.png
149,CGA Palette 0 (Low),4,141,www/palette/149.png
150,MSPaint XP,28,143,www/palette/150.png
151,FlyGuy 16,16,144,www/palette/151.png
152,Kid Icarus (SGB),4,144,www/palette/152.png
153,Gameboy Pop,9,146,www/palette/153.png
154,3-bit RGB,8,146,www/palette/154.png
155,Still Life,14,148,www/palette/155.png
156,Super Mario Land 2 (SGB),4,149,www/palette/156.png
157,Optimum,16,150,www/palette/157.png
158,Naji 16,16,151,www/palette/158.png
159,cm16,16,152,www/palette/159.png
160,Daruda 22,22,153,www/palette/160.png
161,Humers,25,154,www/palette/161.png
162,[thUg] 16,16,155,www/palette/162.png
163,xaiue 22 3,22,156,www/palette/163.png
164,Andrew Kensler 16,16,159,www/palette/164.png
165,30 Color,31,159,www/palette/165.png
166,CGA Palette 1 (Low),4,159,www/palette/166.png
167,Drazile 16,16,161,www/palette/167.png
168,/r/Place,16,162,www/palette/168.png
169,|||| 22,22,162,www/palette/169.png
170,Wish GB,4,165,www/palette/170.png
171,Chip16,16,165,www/palette/171.png
172,bogdanr5000 22,22,165,www/palette/172.png
173,tuckie 22,22,165,www/palette/173.png
174,MSPaint Vista,28,168,www/palette/174.png
175,Apple II,15,168,www/palette/175.png
176,CD-BAC,16,170,www/palette/176.png
177,galapogos 22,22,170,www/palette/177.png
178,Night 11,11,172,www/palette/178.png
179,CGA Palette 2 (Low),4,172,www/palette/179.png
180,Code: Melon,6,174,www/palette/180.png
181,Jewel,15,176,www/palette/181.png
182,Artifice Machine 22,22,176,www/palette/182.png
183,mordfikosz 22,22,176,www/palette/183.png
184,pavanz 16,16,178,www/palette/184.png
185,xaiue 22 2,22,179,www/palette/185.png
186,Hybrid20,20,180,www/palette/186.png
187,RISC OS,16,180,www/palette/187.png
188,dpixel 22,22,183,www/palette/188.png
189,Irenaart 22,22,183,www/palette/189.png
190,Generic 8 Color,8,185,www/palette/190.png
191,xaiue 22,22,185,www/palette/191.png
192,drazile 22,22,187,www/palette/192.png
193,d-jinn 22,16,188,www/palette/193.png
194,Super17 16,22,188,www/palette/194.png
195,haretro8,8,190,www/palette/195.png
196,GZXP,11,190,www/palette/196.png
197,Thomson M05,16,192,www/palette/197.png
198,mordfikosz 11,11,194,www/palette/198.png
199,Arne 4,4,195,www/palette/199.png
200,BigPotato 22,22,195,www/palette/200.png
201,Fairy Tales,8,197,www/palette/201.png
202,Nevercreature 11,11,198,www/palette/202.png
203,Crimso 22,22,198,www/palette/203.png
204,Finlal 11,11,200,www/palette/204.png
205,nevercreature 22,22,200,www/palette/205.png
206,SpeedyCube 11,11,202,www/palette/206.png
207,DimWiddy 22,23,203,www/palette/207.png
208,keeling00 22,22,204,www/palette/208.png
